Juridiction,Policy_Text,Initiative_Résumé,Année
ARGENTINA,"Argentina has made policy initiatives on AI.
It has developed a draft of a National AI Plan to help facilitate the use and development of AI in the country.
Under Resolution 2/2023, Argentina released recommendations for trustworthy and reliable AI directed to the public sector.
In August 2024, Argentina's congress started debating legislation to regulate the use of AI. It is expected to be modeled after the EU AI Act, which uses a risk-based approach to define obligations for providers and deployers of AI-based systems.",It has developed a draft of a National AI Plan to help facilitate the use and development of AI in the country.,
ARGENTINA,"Argentina has made policy initiatives on AI.
It has developed a draft of a National AI Plan to help facilitate the use and development of AI in the country.
Under Resolution 2/2023, Argentina released recommendations for trustworthy and reliable AI directed to the public sector.
In August 2024, Argentina's congress started debating legislation to regulate the use of AI. It is expected to be modeled after the EU AI Act, which uses a risk-based approach to define obligations for providers and deployers of AI-based systems.","Under Resolution 2/2023, Argentina released recommendations for trustworthy and reliable AI directed to the public sector.",2023.0
ARGENTINA,"Argentina has made policy initiatives on AI.
It has developed a draft of a National AI Plan to help facilitate the use and development of AI in the country.
Under Resolution 2/2023, Argentina released recommendations for trustworthy and reliable AI directed to the public sector.
In August 2024, Argentina's congress started debating legislation to regulate the use of AI. It is expected to be modeled after the EU AI Act, which uses a risk-based approach to define obligations for providers and deployers of AI-based systems.","In August 2024, Argentina's congress started debating legislation to regulate the use of AI.",2024.0
ARGENTINA,"Argentina has made policy initiatives on AI.
It has developed a draft of a National AI Plan to help facilitate the use and development of AI in the country.
Under Resolution 2/2023, Argentina released recommendations for trustworthy and reliable AI directed to the public sector.
In August 2024, Argentina's congress started debating legislation to regulate the use of AI. It is expected to be modeled after the EU AI Act, which uses a risk-based approach to define obligations for providers and deployers of AI-based systems.","It is expected to be modeled after the EU AI Act, which uses a risk-based approach to define obligations for providers and deployers of AI-based systems.",
AUSTRALIA,"The Australian government highlighted the application of existing regulatory frameworks for AI. In 2021, the government released an AI Action Plan, which set out a plan to build AI capability and accelerate the development and adoption of trusted, secure and responsible AI technologies in Australia.
In August 2024, the Australian Department of Industry, Science and Resources released the Voluntary AI Safety Standard. This standard builds on the 2023 discussion paper ""Safe and Responsible AI in Australia"" to support and promote consistency among best practices when developing AI. While not mandatory, the standard consists of 10 guardrails, including testing, transparency and accountability requirements.
In September 2024, Australia's Digital Transformation Agency released its policy for the responsible use of AI in government. In this document, the government recognizes the potential benefits of AI and notes the public expects the government to use the technology safely and responsibly. According to the policy, government agencies must adopt several governance measures, such as naming an accountable official.","In 2021, the government released an AI Action Plan, which set out a plan to build AI capability and accelerate the development and adoption of trusted, secure and responsible AI technologies in Australia.",2021.0
AUSTRALIA,"The Australian government highlighted the application of existing regulatory frameworks for AI. In 2021, the government released an AI Action Plan, which set out a plan to build AI capability and accelerate the development and adoption of trusted, secure and responsible AI technologies in Australia.
In August 2024, the Australian Department of Industry, Science and Resources released the Voluntary AI Safety Standard. This standard builds on the 2023 discussion paper ""Safe and Responsible AI in Australia"" to support and promote consistency among best practices when developing AI. While not mandatory, the standard consists of 10 guardrails, including testing, transparency and accountability requirements.
In September 2024, Australia's Digital Transformation Agency released its policy for the responsible use of AI in government. In this document, the government recognizes the potential benefits of AI and notes the public expects the government to use the technology safely and responsibly. According to the policy, government agencies must adopt several governance measures, such as naming an accountable official.","In August 2024, the Australian Department of Industry, Science and Resources released the Voluntary AI Safety Standard.",2024.0
AUSTRALIA,"The Australian government highlighted the application of existing regulatory frameworks for AI. In 2021, the government released an AI Action Plan, which set out a plan to build AI capability and accelerate the development and adoption of trusted, secure and responsible AI technologies in Australia.
In August 2024, the Australian Department of Industry, Science and Resources released the Voluntary AI Safety Standard. This standard builds on the 2023 discussion paper ""Safe and Responsible AI in Australia"" to support and promote consistency among best practices when developing AI. While not mandatory, the standard consists of 10 guardrails, including testing, transparency and accountability requirements.
In September 2024, Australia's Digital Transformation Agency released its policy for the responsible use of AI in government. In this document, the government recognizes the potential benefits of AI and notes the public expects the government to use the technology safely and responsibly. According to the policy, government agencies must adopt several governance measures, such as naming an accountable official.","This standard builds on the 2023 discussion paper ""Safe and Responsible AI in Australia"" to support and promote consistency among best practices when developing AI.",2023.0
AUSTRALIA,"The Australian government highlighted the application of existing regulatory frameworks for AI. In 2021, the government released an AI Action Plan, which set out a plan to build AI capability and accelerate the development and adoption of trusted, secure and responsible AI technologies in Australia.
In August 2024, the Australian Department of Industry, Science and Resources released the Voluntary AI Safety Standard. This standard builds on the 2023 discussion paper ""Safe and Responsible AI in Australia"" to support and promote consistency among best practices when developing AI. While not mandatory, the standard consists of 10 guardrails, including testing, transparency and accountability requirements.
In September 2024, Australia's Digital Transformation Agency released its policy for the responsible use of AI in government. In this document, the government recognizes the potential benefits of AI and notes the public expects the government to use the technology safely and responsibly. According to the policy, government agencies must adopt several governance measures, such as naming an accountable official.","In September 2024, Australia's Digital Transformation Agency released its policy for the responsible use of AI in government.",2024.0
AUSTRALIA,"The Australian government highlighted the application of existing regulatory frameworks for AI. In 2021, the government released an AI Action Plan, which set out a plan to build AI capability and accelerate the development and adoption of trusted, secure and responsible AI technologies in Australia.
In August 2024, the Australian Department of Industry, Science and Resources released the Voluntary AI Safety Standard. This standard builds on the 2023 discussion paper ""Safe and Responsible AI in Australia"" to support and promote consistency among best practices when developing AI. While not mandatory, the standard consists of 10 guardrails, including testing, transparency and accountability requirements.
In September 2024, Australia's Digital Transformation Agency released its policy for the responsible use of AI in government. In this document, the government recognizes the potential benefits of AI and notes the public expects the government to use the technology safely and responsibly. According to the policy, government agencies must adopt several governance measures, such as naming an accountable official.","In this document, the government recognizes the potential benefits of AI and notes the public expects the government to use the technology safely and responsibly.",
AUSTRALIA,"The Australian government highlighted the application of existing regulatory frameworks for AI. In 2021, the government released an AI Action Plan, which set out a plan to build AI capability and accelerate the development and adoption of trusted, secure and responsible AI technologies in Australia.
In August 2024, the Australian Department of Industry, Science and Resources released the Voluntary AI Safety Standard. This standard builds on the 2023 discussion paper ""Safe and Responsible AI in Australia"" to support and promote consistency among best practices when developing AI. While not mandatory, the standard consists of 10 guardrails, including testing, transparency and accountability requirements.
In September 2024, Australia's Digital Transformation Agency released its policy for the responsible use of AI in government. In this document, the government recognizes the potential benefits of AI and notes the public expects the government to use the technology safely and responsibly. According to the policy, government agencies must adopt several governance measures, such as naming an accountable official.","According to the policy, government agencies must adopt several governance measures, such as naming an accountable official.",
BANGLADESH,"Bangladesh is looking to advance it's AI policies and has published a National AI Strategy for 2019-2024. The strategy includes:
•  Creating strategy and development roadmaps.
•  Overcoming challenges with the use of AI.
•  Leveraging AI for social and economic growth, and more.",Creating strategy and development roadmaps.,
BANGLADESH,"Bangladesh is looking to advance it's AI policies and has published a National AI Strategy for 2019-2024. The strategy includes:
•  Creating strategy and development roadmaps.
•  Overcoming challenges with the use of AI.
•  Leveraging AI for social and economic growth, and more.",Overcoming challenges with the use of AI.,
BANGLADESH,"Bangladesh is looking to advance it's AI policies and has published a National AI Strategy for 2019-2024. The strategy includes:
•  Creating strategy and development roadmaps.
•  Overcoming challenges with the use of AI.
•  Leveraging AI for social and economic growth, and more.","Leveraging AI for social and economic growth, and more.",
BANGLADESH,"Bangladesh is looking to advance it's AI policies and has published a National AI Strategy for 2019-2024. The strategy includes:
•  Creating strategy and development roadmaps.
•  Overcoming challenges with the use of AI.
•  Leveraging AI for social and economic growth, and more.",Bangladesh is looking to advance it's AI policies and has published a National AI Strategy for 2019-2024.,2019.0
BANGLADESH,"Bangladesh is looking to advance it's AI policies and has published a National AI Strategy for 2019-2024. The strategy includes:
•  Creating strategy and development roadmaps.
•  Overcoming challenges with the use of AI.
•  Leveraging AI for social and economic growth, and more.",The strategy includes:,
